20,,需求点数量,,,,,,,,,,,,,,,,,,
14.2,13.1,,,,,,,,,,,,,,,,,,,
12.8,8.5,,,,,,,,,,,,,,,,,,,
18.4,3.4,,,,,,,,,,,,,,,,,,,
15.4,16.6,,,,,,,,,,,,,,,,,,,
18.9,15.2,,,,,,,,,,,,,,,,,,,
15.5,11.6,,,,,,,,,,,,,,,,,,,
3.9,10.6,,,,,,,,,,,,,,,,,,,
10.6,7.6,,,,,,,,,,,,,,,,,,,
8.6,8.4,,,,,,,,,,,,,,,,,,,
12.5,2.1,,,,,,,,,,,,,,,,,,,
13.8,5.2,,,,,,,,,,,,,,,,,,,
6.7,16.9,,,,,,,,,,,,,,,,,,,
14.8,2.6,,,,,,,,,,,,,,,,,,,
1.8,8.7,,,,,,,,,,,,,,,,,,,
17.1,11,,,,,,,,,,,,,,,,,,,
7.4,1,,,,,,,,,,,,,,,,,,,
0.2,2.8,,,,,,,,,,,,,,,,,,,
11.9,19.8,,,,,,,,,,,,,,,,,,,
13.2,15.1,,,,,,,,,,,,,,,,,,,
6.4,5.6,,,,,,,,,,,,,,,,,,,
9.6,14.8,,,,,,,,,,,,,,,,,,,
0,0.1,0.4,1.2,1.5,0.8,1.3,1.7,0.6,1.2,0.4,0.9,1.3,1.3,1.9,1.7,1.1,1.5,1.6,1.7,1.5
1,7,8,,1种车型，8辆车，车载量为7,,,,,各车载量,,,,,,,,,,,
10,999,60,10,,,,,,单程最长,回路最长,车速,卸货时间,,,,,,,,
